FName,LName,Team,OppTeam,GamePoints,GameAssists,GameRebounds,GmPointsFor,GmPointsAgainst,Year
Steph,Curry,Golden State Warriors,Detroit Pistons,17,0,4,74,76,2014
Steph,Curry,Golden State Warriors,Portland Trail Blaizers,24,3,14,84,88,2015
Steph,Curry,Golden State Warriors,Sacramento Kings,18,0,2,99,91,2016
Steph,Curry,Golden State Warriors,Utah Jazz,14,2,10,82,102,2017
Steph,Curry,Golden State Warriors,Oklahoma City Thunder,13,0,7,94,89,2018
Steph,Curry,Golden State Warriors,Memphis Grizzlies,19,1,7,80,86,2019
Klay,Thompson,Golden State Warriors,Orlando Magic,36,10,11,123,120,2008
Klay,Thompson,Golden State Warriors,Washington Wizards,12,1,6,78,90,2009
Klay,Thompson,Golden State Warriors,Orlando Magic,16,0,5,85,94,2010
Klay,Thompson,Golden State Warriors,Philadelphia 76ers,17,1,11,79,87,2011
Klay,Thompson,Golden State Warriors,Indiana Pacers,12,1,11,76,74,2012
Klay,Thompson,Golden State Warriors,Memphis Grizzlies,16,1,13,88,83,2013
Klay,Thompson,Golden State Warriors,Washington Wizards,21,3,16,100,108,2014
Klay,Thompson,Golden State Warriors,Detroit Pistons,31,1,5,112,85,2015
Klay,Thompson,Golden State Warriors,Portland Trail Blaizers,22,4,10,98,89,2016
Klay,Thompson,Golden State Warriors,Sacramento Kings,20,2,14,84,91,2017
Klay,Thompson,Golden State Warriors,Utah Jazz,17,0,4,74,76,2018
Kobe,Bryant,Los Angeles Lakers,Oklahoma City Thunder,16,1,13,88,83,2009
Kobe,Bryant,Los Angeles Lakers,Memphis Grizzlies,21,3,16,100,108,2010
Kobe,Bryant,Los Angeles Lakers,Orlando Magic,31,1,5,112,85,2011
Kobe,Bryant,Los Angeles Lakers,Washington Wizards,22,4,10,98,89,2012
Kobe,Bryant,Los Angeles Lakers,Orlando Magic,20,2,14,84,91,2013
Kobe,Bryant,Los Angeles Lakers,Philadelphia 76ers,17,0,4,74,76,2014
Kobe,Bryant,Los Angeles Lakers,Indiana Pacers,24,3,14,84,88,2015
Kobe,Bryant,Los Angeles Lakers,Memphis Grizzlies,18,0,2,99,91,2016
Kobe,Bryant,Los Angeles Lakers,Washington Wizards,14,2,10,82,102,2017
Kobe,Bryant,Los Angeles Lakers,Philadelphia 76ers,13,0,7,94,89,2018
Kobe,Bryant,Los Angeles Lakers,Utah Jazz,19,1,7,80,86,2019
Paul,George,Indiana Pacers,Utah Jazz,14,2,10,82,102,2007
Paul,George,Indiana Pacers,Oklahoma City Thunder,13,0,7,94,89,2008
Paul,George,Indiana Pacers,Memphis Grizzlies,19,1,7,80,86,2009
Paul,George,Indiana Pacers,Orlando Magic,36,10,11,123,120,2010
Paul,George,Indiana Pacers,Washington Wizards,12,1,6,78,90,2011
Paul,George,Indiana Pacers,Orlando Magic,16,0,5,85,94,2012
Paul,George,Indiana Pacers,Philadelphia 76ers,17,1,11,79,87,2013
Paul,George,Indiana Pacers,Indiana Pacers,12,1,11,76,74,2014
Paul,George,Indiana Pacers,Memphis Grizzlies,16,1,13,88,83,2015
Paul,George,Indiana Pacers,Washington Wizards,21,3,16,100,108,2016
Paul,George,Indiana Pacers,Detroit Pistons,31,1,5,112,85,2017
George,Hill,Indiana Pacers,Detroit Pistons,20,2,11,70,78,2005
George,Hill,Indiana Pacers,Portland Trail Blaizers,24,1,13,74,85,2006
George,Hill,Indiana Pacers,Sacramento Kings,2,5,4,118,117,2007
George,Hill,Indiana Pacers,Utah Jazz,9,9,6,92,102,2008
George,Hill,Indiana Pacers,Oklahoma City Thunder,25,6,6,95,109,2009
George,Hill,Indiana Pacers,Memphis Grizzlies,6,1,1,93,105,2010
George,Hill,Indiana Pacers,Orlando Magic,3,3,5,109,107,2011
George,Hill,Indiana Pacers,Washington Wizards,4,4,2,94,103,2012
George,Hill,Indiana Pacers,Orlando Magic,14,3,1,92,100,2013
George,Hill,Indiana Pacers,Philadelphia 76ers,18,2,6,96,102,2014
George,Hill,Indiana Pacers,Indiana Pacers,7,3,4,102,82,2015
