FName,LName,Team,OppTeam,GamePoints,GameAssists,GameRebounds,GmPointsFor,GmPointsAgainst,Year
Jayson,Tatum,Boston Celtics,Milwaukee Bucks,18,3,10,77,109,2008,
Jayson,Tatum,Boston Celtics,San Antonio Spurs,10,8,6,65,82,2015,
Jayson,Tatum,Boston Celtics,Washington Wizards,16,8,8,80,80,2006,
Jayson,Tatum,Boston Celtics,Brooklyn Nets,9,2,0,72,102,2006,
Jayson,Tatum,Boston Celtics,Houston Rockets,12,6,8,92,80,2015,
Jayson,Tatum,Boston Celtics,Indiana Pacers,1,2,8,58,52,2012,
Jayson,Tatum,Boston Celtics,Charlotte Bobcats,7,8,14,106,60,2002,
Jayson,Tatum,Boston Celtics,Toronto Raptors,11,5,0,67,71,2008,
Jayson,Tatum,Boston Celtics,Golden State Warriors,13,9,2,54,97,2006,
Jayson,Tatum,Boston Celtics,Washington Wizards,8,10,11,54,59,2004,
Jayson,Tatum,Boston Celtics,Portland Trail Blazers,19,3,3,93,63,2004,
Jayson,Tatum,Boston Celtics,Washington Wizards,12,4,8,63,57,2008,
Jayson,Tatum,Boston Celtics,Utah Jazz,10,9,0,66,52,2005,
Jayson,Tatum,Boston Celtics,Golden State Warriors,3,1,6,85,54,2010,
Jayson,Tatum,Boston Celtics,Charlotte Bobcats,0,12,1,105,50,2005,
Jayson,Tatum,Boston Celtics,Portland Trail Blazers,6,9,4,55,91,2014,
Jayson,Tatum,Boston Celtics,Utah Jazz,17,5,1,90,67,2010,
Jayson,Tatum,Boston Celtics,Dallas Mavericks,4,7,13,67,105,2007,
Jayson,Tatum,Boston Celtics,Brooklyn Nets,12,9,2,54,105,2008,
Jayson,Tatum,Boston Celtics,Toronto Raptors,12,0,13,106,95,2007,
Jayson,Tatum,Boston Celtics,Toronto Raptors,4,13,3,75,69,2002,
Jayson,Tatum,Boston Celtics,Golden State Warriors,15,4,10,105,83,2002,
Jayson,Tatum,Boston Celtics,Philadelphia 76ers,1,0,4,83,57,2005,
Jayson,Tatum,Boston Celtics,Cleveland Cavaliers,9,2,6,62,57,2003,
Jayson,Tatum,Boston Celtics,Charlotte Bobcats,9,11,8,103,92,2018,
Jayson,Tatum,Boston Celtics,Oklahoma City Thunder,5,1,11,54,58,2012,
Jayson,Tatum,Boston Celtics,Philadelphia 76ers,8,2,12,59,54,2018,
Jayson,Tatum,Boston Celtics,Chicago Bulls,8,3,12,89,92,2010,
Jayson,Tatum,Boston Celtics,San Antonio Spurs,17,6,3,109,102,2016,
Jayson,Tatum,Boston Celtics,Los Angeles Clippers,7,12,14,93,106,2016,
Jayson,Tatum,Boston Celtics,Miami Heat,16,14,14,84,80,2016,
Jayson,Tatum,Boston Celtics,Memphis Grizzlies,3,14,2,66,93,2009,
Jayson,Tatum,Boston Celtics,Dallas Mavericks,8,6,0,72,95,2006,
Jayson,Tatum,Boston Celtics,Dallas Mavericks,9,13,12,70,98,2013,
Jayson,Tatum,Boston Celtics,Oklahoma City Thunder,8,14,12,53,51,2009,
Jayson,Tatum,Boston Celtics,New York Knicks,9,3,10,75,52,2008,
Jayson,Tatum,Boston Celtics,Miami Heat,19,13,0,70,54,2015,
Jayson,Tatum,Boston Celtics,Los Angeles Clippers,7,5,1,79,88,2018,
Jayson,Tatum,Boston Celtics,New Orleans Hornets,6,5,8,92,74,2000,
Jayson,Tatum,Boston Celtics,Philadelphia 76ers,5,3,9,102,84,2017,
Jayson,Tatum,Boston Celtics,Utah Jazz,8,5,9,61,98,2014,
Jayson,Tatum,Boston Celtics,Detroit Pistons,6,2,8,76,81,2018,
Jayson,Tatum,Boston Celtics,Sacramento Kings,8,2,3,77,56,2003,
Jayson,Tatum,Boston Celtics,Philadelphia 76ers,1,1,12,99,91,2006,
Jayson,Tatum,Boston Celtics,New York Knicks,4,4,12,55,71,2009,
Jayson,Tatum,Boston Celtics,Atlanta Hawks,12,5,8,66,56,2014,
Jayson,Tatum,Boston Celtics,Chicago Bulls,14,2,9,78,71,2009,
Jayson,Tatum,Boston Celtics,New York Knicks,1,3,10,82,109,2007,
Jayson,Tatum,Boston Celtics,Dallas Mavericks,12,7,9,82,72,2002,
Jayson,Tatum,Boston Celtics,Chicago Bulls,2,11,2,100,52,2006,
Jayson,Tatum,Boston Celtics,Charlotte Bobcats,13,11,2,107,78,2004,
Jayson,Tatum,Boston Celtics,Oklahoma City Thunder,7,5,14,94,69,2011,
Jayson,Tatum,Boston Celtics,Denver Nuggets,5,5,6,92,88,2013,
Jayson,Tatum,Boston Celtics,Memphis Grizzlies,5,8,0,66,108,2006,
Jayson,Tatum,Boston Celtics,Philadelphia 76ers,2,12,7,67,71,2003,
Jayson,Tatum,Boston Celtics,Atlanta Hawks,8,13,3,72,103,2018,
Jayson,Tatum,Boston Celtics,San Antonio Spurs,12,0,12,50,67,2014,
Jayson,Tatum,Boston Celtics,New Orleans Hornets,17,4,11,66,104,2012,
Jayson,Tatum,Boston Celtics,Orlando Magic,8,10,9,50,65,2016,
Jayson,Tatum,Boston Celtics,Los Angeles Clippers,3,7,14,109,95,2001,
Jayson,Tatum,Boston Celtics,Minnesota Timberwolves,12,0,10,60,52,2018,
Jayson,Tatum,Boston Celtics,San Antonio Spurs,17,11,9,103,91,2013,
Jayson,Tatum,Boston Celtics,Minnesota Timberwolves,18,5,7,97,80,2002,
Jayson,Tatum,Boston Celtics,San Antonio Spurs,12,9,3,50,58,2008,
Jayson,Tatum,Boston Celtics,New Orleans Hornets,6,6,0,76,70,2006,
Jayson,Tatum,Boston Celtics,Sacramento Kings,3,1,4,98,87,2010,
Jayson,Tatum,Boston Celtics,Memphis Grizzlies,6,14,3,73,96,2003,
Jayson,Tatum,Boston Celtics,Minnesota Timberwolves,13,0,6,63,69,2014,
Jayson,Tatum,Boston Celtics,Orlando Magic,9,6,0,104,71,2014,
Jayson,Tatum,Boston Celtics,Indiana Pacers,18,14,2,97,60,2001,
Jayson,Tatum,Boston Celtics,New York Knicks,15,7,7,103,91,2007,
Jayson,Tatum,Boston Celtics,Los Angeles Clippers,4,13,1,73,102,2014,
Jayson,Tatum,Boston Celtics,Sacramento Kings,3,12,13,98,75,2010,
Jayson,Tatum,Boston Celtics,Oklahoma City Thunder,6,12,8,95,103,2003,
Jayson,Tatum,Boston Celtics,Atlanta Hawks,17,0,10,56,67,2008,
Jayson,Tatum,Boston Celtics,Milwaukee Bucks,11,11,0,52,50,2013,
Jayson,Tatum,Boston Celtics,Washington Wizards,2,9,6,80,105,2000,
Jayson,Tatum,Boston Celtics,Utah Jazz,12,2,0,59,66,2001,
Jayson,Tatum,Boston Celtics,Indiana Pacers,14,5,13,50,98,2001,
Jayson,Tatum,Boston Celtics,Toronto Raptors,18,8,0,102,73,2003,
Jayson,Tatum,Boston Celtics,Houston Rockets,7,0,8,99,88,2001,
Jayson,Tatum,Boston Celtics,Los Angeles Clippers,0,6,2,77,101,2002,
Jayson,Tatum,Boston Celtics,Orlando Magic,1,11,14,101,52,2014,
Jayson,Tatum,Boston Celtics,Memphis Grizzlies,3,2,14,89,63,2007,
Jayson,Tatum,Boston Celtics,San Antonio Spurs,10,1,7,63,93,2013,
Jayson,Tatum,Boston Celtics,Phoenix Suns,19,7,9,60,53,2003,
Jayson,Tatum,Boston Celtics,Houston Rockets,19,10,14,89,87,2003,
Jayson,Tatum,Boston Celtics,Philadelphia 76ers,11,4,10,75,108,2004,
Jayson,Tatum,Boston Celtics,Houston Rockets,1,5,7,61,79,2002,
Jayson,Tatum,Boston Celtics,Milwaukee Bucks,14,3,3,75,100,2011,
Jayson,Tatum,Boston Celtics,Denver Nuggets,7,2,9,105,92,2009,
Jayson,Tatum,Boston Celtics,Indiana Pacers,19,6,10,64,86,2003,
Jayson,Tatum,Boston Celtics,Golden State Warriors,5,7,3,53,52,2006,
Jayson,Tatum,Boston Celtics,New Orleans Hornets,10,8,9,69,81,2013,
Jayson,Tatum,Boston Celtics,Chicago Bulls,10,7,2,109,77,2008,
Jayson,Tatum,Boston Celtics,Charlotte Bobcats,10,7,8,98,94,2017,
Jayson,Tatum,Boston Celtics,Philadelphia 76ers,13,1,10,98,74,2008,
Jayson,Tatum,Boston Celtics,Los Angeles Lakers,11,14,7,58,78,2009,
Jayson,Tatum,Boston Celtics,Toronto Raptors,17,3,12,92,92,2010,
Jayson,Tatum,Boston Celtics,Charlotte Bobcats,12,9,0,93,72,2014,
Jayson,Tatum,Boston Celtics,Milwaukee Bucks,11,9,8,53,94,2012,
Jayson,Tatum,Boston Celtics,Philadelphia 76ers,16,14,2,55,92,2017,
Jayson,Tatum,Boston Celtics,Los Angeles Lakers,11,2,14,72,64,2009,
Jayson,Tatum,Boston Celtics,Washington Wizards,19,4,7,72,85,2012,
Jayson,Tatum,Boston Celtics,Golden State Warriors,8,9,13,52,65,2011,
Jayson,Tatum,Boston Celtics,New Orleans Hornets,8,3,10,93,79,2018,
Jayson,Tatum,Boston Celtics,Detroit Pistons,9,5,9,78,102,2009,
Jayson,Tatum,Boston Celtics,Detroit Pistons,11,6,12,57,89,2000,
Jayson,Tatum,Boston Celtics,Brooklyn Nets,9,1,0,108,69,2005,
Jayson,Tatum,Boston Celtics,Minnesota Timberwolves,2,9,10,61,94,2008,
Jayson,Tatum,Boston Celtics,Houston Rockets,0,12,7,100,78,2004,
Jayson,Tatum,Boston Celtics,Sacramento Kings,6,4,7,78,73,2008,
Jayson,Tatum,Boston Celtics,Brooklyn Nets,9,13,5,61,72,2005,
Jayson,Tatum,Boston Celtics,Washington Wizards,17,6,1,63,83,2000,
Jayson,Tatum,Boston Celtics,Orlando Magic,0,5,5,50,62,2008,
Jayson,Tatum,Boston Celtics,Los Angeles Clippers,8,4,14,60,65,2007,
Jayson,Tatum,Boston Celtics,Minnesota Timberwolves,5,1,8,82,60,2012,
Jayson,Tatum,Boston Celtics,Washington Wizards,19,7,8,73,58,2016,
Jayson,Tatum,Boston Celtics,Utah Jazz,19,14,12,52,62,2004,
Jayson,Tatum,Boston Celtics,Utah Jazz,19,11,9,99,75,2003,
Jayson,Tatum,Boston Celtics,Minnesota Timberwolves,7,7,0,92,74,2015,
Jayson,Tatum,Boston Celtics,Miami Heat,4,8,1,58,99,2011,
Jayson,Tatum,Boston Celtics,Brooklyn Nets,7,11,3,55,59,2005,
Jayson,Tatum,Boston Celtics,Miami Heat,5,8,10,52,96,2010,
Jayson,Tatum,Boston Celtics,Minnesota Timberwolves,8,2,8,52,71,2010,
Jayson,Tatum,Boston Celtics,Golden State Warriors,3,10,3,79,75,2000,
Jayson,Tatum,Boston Celtics,Philadelphia 76ers,19,2,7,58,62,2006,
Jayson,Tatum,Boston Celtics,Memphis Grizzlies,16,3,6,74,88,2016,
Jayson,Tatum,Boston Celtics,San Antonio Spurs,17,14,9,81,56,2011,
Jayson,Tatum,Boston Celtics,Charlotte Bobcats,6,3,13,78,64,2011,
Jayson,Tatum,Boston Celtics,Cleveland Cavaliers,17,1,9,76,69,2003,
Jayson,Tatum,Boston Celtics,Atlanta Hawks,8,7,8,80,91,2004,
Jayson,Tatum,Boston Celtics,Denver Nuggets,3,11,7,92,84,2006,
Jayson,Tatum,Boston Celtics,New York Knicks,10,0,8,55,98,2009,
Jayson,Tatum,Boston Celtics,Sacramento Kings,3,7,10,87,97,2006,
Jayson,Tatum,Boston Celtics,Washington Wizards,10,3,11,79,50,2018,
Jayson,Tatum,Boston Celtics,Miami Heat,10,5,8,103,80,2016,
Jayson,Tatum,Boston Celtics,Cleveland Cavaliers,3,6,3,80,91,2011,
Jayson,Tatum,Boston Celtics,Minnesota Timberwolves,13,9,1,101,81,2011,
Jayson,Tatum,Boston Celtics,Detroit Pistons,6,5,3,90,56,2004,
Jayson,Tatum,Boston Celtics,Atlanta Hawks,7,10,8,79,75,2008,
Jayson,Tatum,Boston Celtics,New Orleans Hornets,19,0,2,64,87,2011,
Jayson,Tatum,Boston Celtics,Washington Wizards,17,1,11,57,108,2014,
Jayson,Tatum,Boston Celtics,Dallas Mavericks,16,1,6,108,59,2018,
Jayson,Tatum,Boston Celtics,Charlotte Bobcats,16,10,12,79,82,2015,
Jayson,Tatum,Boston Celtics,Orlando Magic,16,8,10,57,67,2009,
Jayson,Tatum,Boston Celtics,Miami Heat,12,2,13,64,100,2015,
Jayson,Tatum,Boston Celtics,Washington Wizards,2,7,1,70,64,2013,
Jayson,Tatum,Boston Celtics,Orlando Magic,1,13,12,74,90,2007,
Jayson,Tatum,Boston Celtics,Denver Nuggets,13,1,0,87,78,2009,
Jayson,Tatum,Boston Celtics,Chicago Bulls,9,3,7,52,94,2001,
Jayson,Tatum,Boston Celtics,Phoenix Suns,0,7,5,64,78,2005,
Jayson,Tatum,Boston Celtics,Portland Trail Blazers,3,3,7,99,74,2017,
Jayson,Tatum,Boston Celtics,Detroit Pistons,8,1,0,105,52,2014,
Jayson,Tatum,Boston Celtics,Washington Wizards,19,8,8,103,102,2014,
Jayson,Tatum,Boston Celtics,Sacramento Kings,7,11,3,100,98,2017,
Jayson,Tatum,Boston Celtics,Dallas Mavericks,10,12,13,77,100,2016,
Jayson,Tatum,Boston Celtics,Los Angeles Lakers,7,3,10,76,61,2009,
Jayson,Tatum,Boston Celtics,Toronto Raptors,6,12,2,82,52,2009,
Jayson,Tatum,Boston Celtics,Oklahoma City Thunder,4,12,10,82,80,2000,
Jayson,Tatum,Boston Celtics,Milwaukee Bucks,5,3,2,55,74,2005,
Jayson,Tatum,Boston Celtics,Charlotte Bobcats,0,5,9,75,57,2016,
Jayson,Tatum,Boston Celtics,Houston Rockets,8,2,1,87,107,2012,
Jayson,Tatum,Boston Celtics,Golden State Warriors,19,3,4,109,62,2001,
Kyrie,Irving,Brooklyn Nets,Oklahoma City Thunder,15,2,11,87,66,2000,
Kyrie,Irving,Brooklyn Nets,Los Angeles Clippers,13,3,0,98,60,2010,
Kyrie,Irving,Brooklyn Nets,Sacramento Kings,10,5,14,75,76,2000,
Kyrie,Irving,Brooklyn Nets,Utah Jazz,1,8,5,64,94,2007,
Kyrie,Irving,Brooklyn Nets,Oklahoma City Thunder,1,0,0,94,100,2001,
Kyrie,Irving,Brooklyn Nets,Utah Jazz,12,12,5,55,67,2010,
Kyrie,Irving,Brooklyn Nets,Toronto Raptors,18,9,12,54,84,2009,
Kyrie,Irving,Brooklyn Nets,Sacramento Kings,4,10,12,60,74,2014,
Kyrie,Irving,Brooklyn Nets,Los Angeles Lakers,10,3,5,70,59,2004,
Kyrie,Irving,Brooklyn Nets,Phoenix Suns,14,14,6,63,105,2010,
Kyrie,Irving,Brooklyn Nets,Toronto Raptors,14,10,4,99,62,2006,
Kyrie,Irving,Brooklyn Nets,Miami Heat,17,1,10,73,68,2003,
Kyrie,Irving,Brooklyn Nets,Charlotte Bobcats,18,8,7,59,68,2013,
Kyrie,Irving,Brooklyn Nets,Washington Wizards,9,10,3,79,86,2003,
Kyrie,Irving,Brooklyn Nets,Memphis Grizzlies,6,14,0,58,85,2013,
Kyrie,Irving,Brooklyn Nets,Phoenix Suns,8,2,7,75,56,2015,
Kyrie,Irving,Brooklyn Nets,Golden State Warriors,17,4,12,77,73,2014,
Kyrie,Irving,Brooklyn Nets,Indiana Pacers,3,11,6,69,77,2018,
Kyrie,Irving,Brooklyn Nets,San Antonio Spurs,10,2,5,84,78,2002,
Kyrie,Irving,Brooklyn Nets,Charlotte Bobcats,2,2,2,59,102,2013,
Kyrie,Irving,Brooklyn Nets,Golden State Warriors,8,0,1,55,86,2018,
Kyrie,Irving,Brooklyn Nets,Memphis Grizzlies,14,9,7,90,73,2012,
Kyrie,Irving,Brooklyn Nets,Dallas Mavericks,12,6,5,77,90,2017,
Kyrie,Irving,Brooklyn Nets,Orlando Magic,15,12,3,106,71,2000,
Kyrie,Irving,Brooklyn Nets,Milwaukee Bucks,4,8,11,108,100,2000,
Kyrie,Irving,Brooklyn Nets,Phoenix Suns,5,8,10,109,65,2009,
Kyrie,Irving,Brooklyn Nets,Los Angeles Lakers,17,0,10,83,62,2006,
Kyrie,Irving,Brooklyn Nets,Los Angeles Lakers,18,5,6,90,103,2014,
Kyrie,Irving,Brooklyn Nets,Phoenix Suns,2,1,12,59,104,2001,
Kyrie,Irving,Brooklyn Nets,Minnesota Timberwolves,0,8,9,78,102,2003,
Kyrie,Irving,Brooklyn Nets,Denver Nuggets,19,5,5,73,84,2011,
